category,revenue_gmv,orders,items_sold
health_beauty,1412089.53,8647,9465
watches_gifts,1264333.12,5495,5859
bed_bath_table,1225209.26,9272,10953
sports_leisure,1118256.91,7530,8431
computers_accessories,1032723.77,6530,7644
furniture_decor,880329.92,6307,8160
housewares,758392.25,5743,6795
cool_stuff,691680.89,3559,3718
auto,669454.75,3810,4140
garden_tools,567145.68,3448,4268
toys,547061.06,3804,4030
baby,464766.65,2808,2981
perfumery,443171.63,3086,3340
telephony,379202.62,4093,4430
office_furniture,335211.36,1254,1668
stationery,269575.05,2264,2466
pet_shop,250614.20,1688,1924
computers,228349.76,177,199
Unknown,205314.84,1413,1560
musical_instruments,202187.12,611,651
electronics,200723.09,2517,2729
small_appliances,198108.47,609,658
fashion_bags_accessories,179888.29,1820,1985
luggage_accessories,168778.12,1019,1077
consoles_games,167097.73,1018,1089
construction_tools_construction,162382.01,736,916
home_appliances_2,118208.52,227,231
home_construction,95022.37,483,596
home_appliances,93301.78,747,754
furniture_living_room,85045.07,414,495
agro_industry_and_commerce,76203.30,177,206
home_confort,66438.22,392,429
air_conditioning,59854.55,246,289
fixed_telephony,59816.54,212,255
kitchen_dining_laundry_garden_furniture,57072.97,241,274
audio,56255.32,348,362
books_general_interest,54182.54,496,537
small_appliances_home_oven_and_coffee,49245.90,72,73
construction_tools_lights,47447.14,242,301
industry_commerce_and_business,46079.34,232,265
construction_tools_safety,42504.02,159,183
food,35794.68,441,499
market_place,33114.38,274,305
costruction_tools_garden,30283.94,190,232
fashion_shoes,27814.83,235,257
signaling_and_security,27792.59,138,197
art,27485.53,195,197
drinks,26971.11,287,361
furniture_bedroom,23379.22,90,103
books_technical,22901.07,256,263
food_drink,19337.77,221,269
costruction_tools_tools,17934.17,97,103
fashion_male_clothing,12514.95,106,125
christmas_supplies,11928.75,125,150
fashion_underwear_beach,11160.02,117,127
tablets_printing_image,8754.61,79,83
cine_photo,7902.18,63,70
music,6724.86,38,38
furniture_mattress_and_upholstery,5904.75,37,37
dvds_blu_ray,5769.84,56,61
party_supplies,5285.38,38,42
books_imported,5150.94,50,57
fashio_female_clothing,3218.44,36,45
fashion_sport,2657.55,26,29
la_cuisine,2388.54,13,14
arts_and_craftmanship,2184.14,23,24
diapers_and_hygiene,2046.19,25,37
flowers,1598.91,29,33
home_comfort_2,1170.58,24,30
cds_dvds_musicals,954.99,12,14
fashion_childrens_clothes,598.67,7,7
security_and_services,324.51,2,2
