month,orders,customers,revenue_gmv,avg_gmv,items_sold,items_per_order,avg_delivery_days,delay_rate
2016-09-01,1,1,143.46,143.460000,3,3.0000,54.790000,1.0000
2016-10-01,265,262,46490.66,175.436453,313,1.1811,19.581019,0.0113
2016-12-01,1,1,19.62,19.620000,1,1.0000,4.670000,0.0000
2017-01-01,750,718,127482.37,169.976493,913,1.2173,12.626693,0.0307
2017-02-01,1653,1630,271239.32,164.089123,1858,1.1240,13.149728,0.0321
2017-03-01,2546,2508,414330.95,162.738001,2897,1.1379,12.930962,0.0558
2017-04-01,2303,2274,390812.40,169.697091,2569,1.1155,14.897581,0.0786
2017-05-01,3546,3479,566851.40,159.856571,4004,1.1292,11.302449,0.0361
2017-06-01,3135,3076,490050.37,156.315907,3489,1.1129,11.991774,0.0386
2017-07-01,3872,3802,566299.08,146.254928,4416,1.1405,11.572872,0.0343
2017-08-01,4193,4114,645832.36,154.026320,4797,1.1440,11.127012,0.0332
2017-09-01,4150,4083,701077.49,168.934335,4737,1.1414,11.830761,0.0520
2017-10-01,4478,4417,751117.01,167.734929,5214,1.1644,11.836623,0.0529
2017-11-01,7289,7183,1153364.20,158.233530,8475,1.1627,15.140980,0.1431
2017-12-01,5513,5450,843078.29,152.925502,6187,1.1223,15.374881,0.0838
2018-01-01,7069,6974,1077887.46,152.480897,8037,1.1369,14.060546,0.0656
2018-02-01,6555,6400,966168.41,147.394113,7518,1.1469,16.925298,0.1599
2018-03-01,7003,6914,1120598.24,160.016884,8017,1.1448,16.281392,0.2136
2018-04-01,6798,6744,1132878.93,166.648857,7827,1.1514,11.479279,0.0531
2018-05-01,6749,6693,1128774.52,167.250633,7810,1.1572,11.398859,0.0824
2018-06-01,6099,6061,1011978.29,165.925281,7010,1.1494,9.219418,0.0136
2018-07-01,6159,6100,1027807.28,166.878922,6963,1.1305,8.938725,0.0448
2018-08-01,6351,6310,985491.64,155.171097,7142,1.1245,7.712781,0.1039
