month,customers,new_customers,repeat_customers
2016-09-01,1,1,0
2016-10-01,262,262,0
2016-12-01,1,1,0
2017-01-01,718,717,1
2017-02-01,1630,1628,2
2017-03-01,2508,2503,5
2017-04-01,2274,2256,18
2017-05-01,3479,3451,28
2017-06-01,3076,3037,39
2017-07-01,3802,3752,50
2017-08-01,4114,4057,57
2017-09-01,4083,4004,79
2017-10-01,4417,4328,89
2017-11-01,7183,7060,123
2017-12-01,5450,5338,112
2018-01-01,6974,6842,132
2018-02-01,6400,6288,112
2018-03-01,6914,6774,140
2018-04-01,6744,6582,162
2018-05-01,6693,6506,187
2018-06-01,6061,5878,183
2018-07-01,6100,5949,151
2018-08-01,6310,6144,166
